ENGINEERING,4998,516,510,517,512,510,504,492,510,411,516
BIOLOGY,3155,321,323,318,328,327,312,306,321,272,327
PHYSICS,2286,229,229,228,233,234,231,228,234,206,234
COMPUTER SCIENCE,1690,170,170,172,176,172,170,163,170,153,174
MATHEMATICS,1568,155,153,156,163,161,156,155,161,151,157
CHEMISTRY,1444,147,144,146,149,149,146,145,145,130,143
LAW,1297,120,107,126,137,141,142,137,145,126,116
ECOMOMICS,1070,114,92,110,111,118,112,108,117,94,94
BUSINESS ADMINISTRATION,1024,102,90,106,108,110,107,107,111,91,92
